,EU27,BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
TOTAL,26751,1051,1006,1003,1019,1038,1552,514,1000,1008,999,1004,1059,1036,506,1024,1021,501,1021,500,1014,1031,1000,1009,1020,1017,1000,1003,1016,1331
Arabe,137,34,0,0,3,0,1,1,2,4,0,6,19,6,4,0,0,1,2,2,1,2,0,1,0,0,1,4,8,6
Arabic,1%,3%,- ,- ,0%,- ,0%,0%,0%,0%,- ,1%,2%,1%,1%,- ,- ,0%,0%,0%,0%,0%,- ,0%,- ,- ,0%,0%,1%,0%
Basque,71,0,0,0,0,0,0,0,0,0,1,9,1,11,0,0,0,0,3,0,0,0,4,1,0,0,1,0,0,0
Basque,0%,- ,- ,- ,- ,- ,- ,- ,- ,- ,0%,1%,0%,1%,- ,- ,- ,- ,0%,- ,- ,- ,0%,0%,- ,- ,0%,- ,- ,- 
Bulgare,423,2,952,0,1,0,0,0,1,0,5,2,0,0,2,3,0,0,1,2,2,3,0,0,0,0,1,0,0,2
Bulgarian,2%,0%,95%,- ,0%,- ,- ,- ,0%,- ,1%,0%,- ,- ,0%,0%,- ,- ,0%,0%,0%,0%,- ,- ,- ,- ,0%,- ,- ,0%
Catalan,229,0,0,0,0,0,0,0,0,1,0,85,0,0,0,0,0,1,0,0,1,4,3,1,0,0,0,3,0,1
Catalan,1%,- ,- ,- ,- ,- ,- ,- ,- ,0%,- ,8%,- ,- ,- ,- ,- ,0%,- ,- ,0%,0%,0%,0%,- ,- ,- ,0%,- ,0%
Chinois,27,2,0,0,0,2,3,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,3
Chinese,0%,0%,- ,- ,- ,0%,0%,0%,0%,0%,- ,0%,0%,- ,- ,0%,- ,0%,- ,- ,0%,0%,- ,0%,- ,- ,- ,- ,- ,0%
Croate,28,3,1,0,1,0,0,0,3,1,1,0,1,0,0,0,0,1,1,0,2,17,0,5,0,40,0,0,1,2
Croatian,0%,0%,0%,- ,0%,- ,- ,- ,0%,0%,0%,- ,0%,- ,- ,- ,- ,0%,0%,- ,0%,2%,- ,1%,- ,4%,- ,0%,0%,0%
Tchèque,610,0,0,978,0,1,2,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,3,18,0,0,4,0,2,4
Czech,2%,- ,- ,98%,- ,0%,0%,- ,0%,- ,0%,- ,- ,- ,- ,0%,0%,0%,- ,- ,0%,0%,0%,2%,- ,- ,0%,- ,0%,0%
Danois,313,4,0,0,983,3,3,0,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,6,0,0,0,0,3,3
Danish,1%,0%,- ,- ,96%,0%,0%,- ,0%,- ,- ,- ,- ,- ,- ,- ,- ,0%,0%,- ,- ,0%,- ,1%,- ,- ,- ,- ,0%,0%
Néerlandais,1170,576,0,0,1,2,3,0,0,2,0,0,0,0,0,1,0,9,1,0,956,3,0,3,0,0,0,0,3,5
Dutch,4%,55%,- ,- ,0%,0%,0%,- ,- ,0%,- ,- ,- ,- ,- ,0%,- ,2%,0%,- ,94%,0%,- ,0%,- ,- ,- ,- ,0%,0%
Anglais,3454,5,3,7,8,28,33,1,7,938,10,4,14,14,5,0,0,10,0,18,12,2,16,13,3,1,1,6,15,1165
English,13%,0%,0%,1%,1%,3%,2%,0%,1%,93%,1%,0%,1%,1%,1%,- ,- ,2%,- ,4%,1%,0%,2%,1%,0%,0%,0%,1%,2%,88%
